,Variable,Coefficient,Standard Error,RDA_male,RDA_female,P-value,Lower,Upper,Lower_RDA_male,coef_RDA_male,Upper_RDA_male,Lower_RDA_female,coef_RDA_female,Upper_RDA_female,var_name,stars
0,fah_energy,24.3356,5.8393,2400.0,2000.0,3e-05,12.890572,35.780628,0.5371071666666667,1.0139833333333332,1.4908595,0.6445286,1.21678,1.7890314,Energy (kCal),∗∗∗
1,fah_carb,2.987,0.7602,130.0,130.0,9e-05,1.4970080000000001,4.476992,1.1515446153846154,2.2976923076923077,3.4438400000000002,1.1515446153846154,2.2976923076923077,3.4438400000000002,Carbs (g),∗∗
2,fah_dietfiber,0.0728,0.0386,34.0,28.0,0.05914,-0.0028559999999999974,0.148456,-0.008399999999999993,0.21411764705882352,0.43663529411764707,-0.01019999999999999,0.26,0.5302,Dietary Fiber (g),
3,fah_totsug,1.7679,0.3972,60.0,50.0,1e-05,0.989388,2.546412,1.6489800000000003,2.9465000000000003,4.244020000000001,1.978776,3.5358,5.092824,Total Sugar (g),∗∗∗
4,fah_totfat,1.0416,0.2847,90.0,78.0,0.00025,0.48358800000000013,1.599612,0.5373200000000001,1.1573333333333335,1.7773466666666669,0.6199846153846156,1.3353846153846156,2.0507846153846154,Total Fat (g),∗∗
5,fah_satfat,0.3525,0.0864,25.0,22.0,4e-05,0.18315599999999999,0.521844,0.7326239999999999,1.41,2.087376,0.8325272727272727,1.602272727272727,2.3720181818181816,Saturated Fat (g),∗∗∗
6,fah_monofat,0.3963,0.1072,32.5,28.0,0.00022,0.186188,0.606412,0.5728861538461538,1.2193846153846155,1.8658830769230768,0.6649571428571428,1.4153571428571428,2.1657571428571427,Monounsaturated Fat (g),∗∗
7,fah_polyfat,0.2087,0.0892,32.5,28.0,0.01924,0.03386800000000001,0.383532,0.10420923076923079,0.6421538461538461,1.1800984615384615,0.1209571428571429,0.7453571428571428,1.369757142857143,Polyunsaturated Fat (g),
8,fah_protein,0.7429,0.1907,56.0,46.0,0.0001,0.369128,1.1166719999999999,0.6591571428571429,1.3266071428571429,1.9940571428571425,0.8024521739130436,1.6150000000000002,2.4275478260869563,Protein (g),∗∗
9,fah_chol,3.0195,0.8607,300.0,300.0,0.00045,1.332528,4.706472,0.44417599999999996,1.0065,1.568824,0.44417599999999996,1.0065,1.568824,Cholesterol (mg),∗∗
10,fah_sodium,42.2878,20.017,2300.0,2300.0,0.03464,3.054479999999998,81.52112,0.13280347826086947,1.8386,3.54439652173913,0.13280347826086947,1.8386,3.54439652173913,Sodium (mg),
11,fah_vitarae,7.1458,2.4781,900.0,700.0,0.00393,2.288724,12.002876,0.25430266666666673,0.7939777777777778,1.333652888888889,0.32696057142857143,1.0208285714285714,1.7146965714285713,Vitamin A (mcg),
12,fah_vitb6,0.0152,0.0054,1.3,1.3,0.00448,0.004616,0.025784,0.3550769230769231,1.169230769230769,1.9833846153846153,0.3550769230769231,1.169230769230769,1.9833846153846153,Vitamin B¬6 (mg),
13,fah_vitb12,0.0741,0.0232,2.4,2.4,0.00139,0.028628,0.119572,1.1928333333333334,3.0875,4.982166666666667,1.1928333333333334,3.0875,4.982166666666667,Vitamin B12 (mcg),∗
14,fah_vitc,0.5122,0.1933,90.0,75.0,0.00807,0.133332,0.891068,0.14814666666666668,0.5691111111111111,0.9900755555555555,0.177776,0.6829333333333333,1.1880906666666666,Vitamin C (mg),
15,fah_iron,0.1274,0.0465,8.0,18.0,0.00611,0.036260000000000014,0.21854,0.45325000000000015,1.5925000000000002,2.7317500000000003,0.20144444444444454,0.7077777777777778,1.2141111111111111,Iron (mg),
16,fah_thiamin,0.0125,0.0047,1.2,1.1,0.00755,0.003288000000000001,0.021712000000000002,0.27400000000000013,1.0416666666666667,1.8093333333333337,0.29890909090909096,1.1363636363636365,1.9738181818181817,Thiamin (mg),
17,fah_riboflavin,0.019,0.0053,1.3,1.1,0.00036,0.008612,0.029387999999999997,0.6624615384615384,1.4615384615384615,2.260615384615384,0.7829090909090909,1.7272727272727268,2.671636363636363,Riboflavin (mg),∗∗
18,fah_calcium,10.2865,2.7748,1000.0,1000.0,0.00021,4.847892000000001,15.725107999999999,0.48478920000000003,1.02865,1.5725107999999999,0.48478920000000003,1.02865,1.5725107999999999,Calcium (mg),∗∗
19,fah_phosphorus,13.2601,3.5859,700.0,700.0,0.00022,6.231736,20.288463999999998,0.8902479999999999,1.8942999999999999,2.8983519999999996,0.8902479999999999,1.8942999999999999,2.8983519999999996,Phosphorus (mg),∗∗
20,fah_magnes,2.0882,0.6349,400.0,310.0,0.00101,0.843796,3.332604,0.210949,0.52205,0.833151,0.27219225806451613,0.6736129032258065,1.0750335483870967,Magnesium (mg),∗
